"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.91372955071229,3.44738088533239,-0.845200935907421,0.401471890553654
"Temp_Corrected",0.877556973302315,0.320930046430154,2.73441824180617,0.00827426633395345
