"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",77.5170512610692,10.9832274028681,7.05776621185377,1.84373459176538e-09
"Rel.Hum_Corrected",-0.78299185577567,0.141940352214531,-5.51634432041032,7.46182100119219e-07
