"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",116.164394317819,15.5035660146304,7.49275322904403,1.26363825360913e-11
"Temp_Corrected",-1.91288596814133,0.633214212903082,-3.02091445384867,0.00308041895383024
"Rel.Hum_Corrected",-1.00528129928776,0.112329416179883,-8.94940375794272,5.3975575757855e-15
